Date,Poor,Need improvement,Good
2025-05-11,0,0,477
2025-05-12,0,0,477
2025-05-13,0,0,475
2025-05-14,0,0,473
2025-05-15,0,0,464
2025-05-16,0,0,451
2025-05-17,0,0,447
2025-05-18,0,0,440
2025-05-19,0,0,439
2025-05-20,0,0,425
2025-05-21,0,0,416
2025-05-22,0,0,406
2025-05-23,0,0,409
2025-05-24,0,79,349
2025-05-25,0,0,436
2025-05-26,0,0,438
2025-05-27,0,0,431
2025-05-28,0,0,457
2025-05-29,0,0,478
2025-05-30,0,0,486
2025-05-31,0,0,491
2025-06-01,0,0,491
2025-06-02,0,0,494
2025-06-03,0,0,509
2025-06-04,0,0,508
2025-06-05,0,0,502
2025-06-06,0,0,507
2025-06-07,0,0,512
2025-06-08,0,0,525
2025-06-09,0,0,530
2025-06-10,0,47,482
2025-06-11,0,48,492
2025-06-12,0,49,501
2025-06-13,0,49,495
2025-06-14,0,49,493
2025-06-15,0,46,489
2025-06-16,0,136,404
2025-06-17,0,134,403
2025-06-18,0,137,404
2025-06-19,0,46,491
2025-06-20,0,45,488
2025-06-21,0,46,485
2025-06-22,0,138,399
2025-06-23,0,137,400
2025-06-24,0,137,407
2025-06-25,0,136,408
2025-06-26,0,135,405
2025-06-27,0,46,491
2025-06-28,0,46,490
2025-06-29,0,134,399
2025-06-30,0,131,400
2025-07-01,0,132,396
2025-07-02,0,133,398
2025-07-03,0,130,392
2025-07-04,0,129,375
2025-07-05,0,236,269
2025-07-06,0,238,271
2025-07-07,0,246,277
2025-07-08,0,267,300
2025-07-09,0,277,304
2025-07-10,0,282,319
2025-07-11,0,248,283
2025-07-12,0,214,227
2025-07-13,0,111,243
2025-07-14,0,170,164
