Country,Clicks,Impressions,CTR,Position
United States,10079,410032,2.46%,10.71
United Kingdom,150,21135,0.71%,22.03
Canada,84,12689,0.66%,16.14
India,45,11372,0.4%,30.51
Germany,26,6219,0.42%,18.81
Australia,22,5342,0.41%,13.62
Nigeria,20,2465,0.81%,15.02
South Africa,18,3873,0.46%,17.53
France,15,5173,0.29%,14.35
Mexico,12,4171,0.29%,28.72
Philippines,12,3188,0.38%,25.16
Kenya,10,1020,0.98%,16.83
Netherlands,9,2273,0.4%,18.73
Greece,8,540,1.48%,17.9
Ireland,7,1382,0.51%,21.33
Poland,6,1425,0.42%,19.8
Ghana,6,724,0.83%,10.28
Brazil,5,21992,0.02%,43.25
South Korea,5,3932,0.13%,44.34
Italy,5,3892,0.13%,23.53
Spain,5,3037,0.16%,18.95
Japan,5,1864,0.27%,23.06
Indonesia,4,3212,0.12%,26.44
Jamaica,4,970,0.41%,22.28
Switzerland,4,887,0.45%,14
Taiwan,4,808,0.5%,40.93
Norway,4,649,0.62%,14.59
Dominican Republic,4,573,0.7%,26.61
Senegal,4,276,1.45%,19.87
Pakistan,3,1958,0.15%,26.24
Sweden,3,1030,0.29%,17.26
New Zealand,3,957,0.31%,13.6
Iraq,3,957,0.31%,35.26
Singapore,3,884,0.34%,27.28
Israel,3,683,0.44%,23.35
Austria,3,521,0.58%,12.43
Hong Kong,3,369,0.81%,24.64
St. Kitts & Nevis,3,52,5.77%,34.04
Papua New Guinea,3,47,6.38%,9.49
Réunion,3,46,6.52%,12.43
Aruba,3,42,7.14%,19.12
Bangladesh,2,2972,0.07%,39.69
Malaysia,2,1536,0.13%,30.41
Denmark,2,610,0.33%,12.34
Puerto Rico,2,462,0.43%,15.92
Finland,2,443,0.45%,11.26
Unknown Region,2,408,0.49%,38.62
Ethiopia,2,334,0.6%,22.82
Côte d’Ivoire,2,260,0.77%,20.45
Sri Lanka,2,207,0.97%,20.57
Zambia,2,174,1.15%,5.49
Iceland,2,105,1.9%,7.34
U.S. Virgin Islands,2,83,2.41%,3.93
Namibia,2,62,3.23%,12.47
Vietnam,1,4837,0.02%,46.76
Argentina,1,2422,0.04%,37.54
Colombia,1,1762,0.06%,32.99
Ukraine,1,1191,0.08%,41.3
Egypt,1,1103,0.09%,31.24
Thailand,1,921,0.11%,26.01
United Arab Emirates,1,919,0.11%,20.16
Trinidad & Tobago,1,866,0.12%,28.91
Belgium,1,814,0.12%,10.57
Portugal,1,627,0.16%,19.17
Nepal,1,610,0.16%,22.21
Algeria,1,608,0.16%,31.85
Bahamas,1,506,0.2%,26.74
Barbados,1,421,0.24%,32.08
Serbia,1,336,0.3%,24.26
Guatemala,1,316,0.32%,35.65
Tanzania,1,295,0.34%,8.36
Bulgaria,1,294,0.34%,30.8
Honduras,1,236,0.42%,30.52
Qatar,1,210,0.48%,21.32
China,1,209,0.48%,12.43
Cameroon,1,207,0.48%,3.95
Zimbabwe,1,172,0.58%,13.37
Syria,1,148,0.68%,30.22
Bermuda,1,106,0.94%,27.41
Belize,1,91,1.1%,34.03
Estonia,1,88,1.14%,18.78
Mozambique,1,72,1.39%,9.15
Grenada,1,65,1.54%,28.77
Liberia,1,47,2.13%,5.81
Montenegro,1,34,2.94%,17.91
Madagascar,1,29,3.45%,24.86
Isle of Man,1,22,4.55%,16.86
Kiribati,1,1,100%,1
Russia,0,5056,0%,42.83
Turkey,0,2457,0%,27.7
Saudi Arabia,0,1463,0%,28.28
Ecuador,0,1210,0%,45.3
Venezuela,0,1130,0%,37.45
Chile,0,1113,0%,32.07
Peru,0,945,0%,34.82
Romania,0,876,0%,27.27
Morocco,0,869,0%,34.84
Iran,0,851,0%,11.29
Panama,0,503,0%,29.65
Uzbekistan,0,498,0%,42.4
Uruguay,0,487,0%,38.06
Paraguay,0,409,0%,42.36
Kazakhstan,0,399,0%,36.79
Czechia,0,381,0%,21.15
Lithuania,0,379,0%,37.21
Tunisia,0,376,0%,38.89
Hungary,0,375,0%,14.94
Bolivia,0,369,0%,40.42
Jordan,0,320,0%,32.1
Costa Rica,0,319,0%,28.12
Uganda,0,294,0%,7.68
Croatia,0,293,0%,11.42
Belarus,0,279,0%,39.34
Kuwait,0,243,0%,23.13
Azerbaijan,0,235,0%,35.3
Georgia,0,230,0%,23.64
Oman,0,195,0%,34.11
Cyprus,0,186,0%,28.19
Albania,0,182,0%,33.13
Lebanon,0,170,0%,27.24
Moldova,0,155,0%,39.01
Myanmar (Burma),0,154,0%,20.31
Congo - Kinshasa,0,152,0%,6.22
El Salvador,0,149,0%,28.64
Slovakia,0,148,0%,18.05
Latvia,0,148,0%,31.01
Cambodia,0,137,0%,26.45
Guyana,0,136,0%,33.78
Bahrain,0,130,0%,30.2
Palestine,0,125,0%,42.94
Angola,0,124,0%,20.65
Nicaragua,0,121,0%,27.35
Bosnia & Herzegovina,0,118,0%,28.56
Rwanda,0,116,0%,10.46
Armenia,0,102,0%,38.19
Macedonia,0,95,0%,31.33
Gabon,0,90,0%,25.3
Slovenia,0,85,0%,24.87
Kyrgyzstan,0,85,0%,41.58
Burkina Faso,0,84,0%,38.76
Togo,0,81,0%,28.83
Malta,0,78,0%,20.81
Luxembourg,0,75,0%,11.03
St. Lucia,0,75,0%,31.81
Haiti,0,74,0%,10.91
Botswana,0,74,0%,12.85
Mongolia,0,71,0%,41.25
Cuba,0,69,0%,19.06
Mauritius,0,69,0%,20.48
Yemen,0,66,0%,13.11
Somalia,0,64,0%,9.27
Congo - Brazzaville,0,63,0%,32.41
Benin,0,58,0%,13.16
Libya,0,56,0%,31.82
Cayman Islands,0,55,0%,37.98
Malawi,0,54,0%,6.39
Antigua & Barbuda,0,51,0%,20.14
Suriname,0,50,0%,24.6
Mali,0,45,0%,15.64
Guadeloupe,0,43,0%,5.44
Kosovo,0,43,0%,15.33
Seychelles,0,41,0%,34.98
St. Vincent & Grenadines,0,37,0%,16.76
Guinea,0,36,0%,8.69
Sierra Leone,0,35,0%,5.29
Maldives,0,33,0%,11.27
Curaçao,0,30,0%,25.97
Laos,0,30,0%,38.83
Guam,0,29,0%,7.1
Martinique,0,28,0%,2.29
Gambia,0,28,0%,7.86
Swaziland,0,28,0%,9.5
Sint Maarten,0,28,0%,14.32
Dominica,0,25,0%,20.44
Brunei,0,25,0%,25
Afghanistan,0,23,0%,4.17
South Sudan,0,23,0%,6.78
Jersey,0,23,0%,12.3
Mauritania,0,23,0%,15.04
Fiji,0,23,0%,31.83
Tajikistan,0,23,0%,46.43
Lesotho,0,22,0%,8.14
Macau,0,19,0%,16.95
Mayotte,0,17,0%,4.47
Turks & Caicos Islands,0,17,0%,12.29
French Guiana,0,17,0%,15.65
Anguilla,0,17,0%,21.18
Turkmenistan,0,16,0%,8.62
Andorra,0,16,0%,40.5
Gibraltar,0,15,0%,43.6
British Virgin Islands,0,15,0%,54.73
Djibouti,0,14,0%,1.86
Burundi,0,12,0%,2
Niger,0,11,0%,7.73
Cape Verde,0,11,0%,35.09
Western Sahara,0,10,0%,21.2
Bhutan,0,9,0%,13.89
Sudan,0,9,0%,14.67
Liechtenstein,0,8,0%,16.38
Equatorial Guinea,0,7,0%,1.57
French Polynesia,0,7,0%,21.14
Monaco,0,6,0%,6.17
Guernsey,0,6,0%,13.17
Guinea-Bissau,0,5,0%,13
San Marino,0,5,0%,31.4
Northern Mariana Islands,0,4,0%,3.5
Micronesia,0,4,0%,9
American Samoa,0,4,0%,13.75
Chad,0,4,0%,13.75
New Caledonia,0,4,0%,26.5
Solomon Islands,0,3,0%,1
Cook Islands,0,3,0%,1.33
Vanuatu,0,3,0%,3
Faroe Islands,0,3,0%,4
Marshall Islands,0,3,0%,9
Caribbean Netherlands,0,3,0%,10.33
Eritrea,0,2,0%,1
Samoa,0,2,0%,1
St. Martin,0,2,0%,4.5
Åland Islands,0,2,0%,7.5
Montserrat,0,2,0%,48.5
Comoros,0,1,0%,1
Falkland Islands (Islas Malvinas),0,1,0%,1
Greenland,0,1,0%,1
Tonga,0,1,0%,1
Central African Republic,0,1,0%,5
St. Helena,0,1,0%,50
Timor-Leste,0,1,0%,55
