Top pages,Clicks,Impressions,CTR,Position
https://nationalactionnetwork.net/,3957,164308,2.41%,26.09
https://nationalactionnetwork.net/about/contact-us/,1230,91914,1.34%,6.49
http://www.nationalactionnetwork.net/,522,8258,6.32%,7.73
https://nationalactionnetwork.net/newnews/rev-al-sharptons-statement-on-former-gov-andrew-cuomos-mwbe-expansion-plan/,391,2190,17.85%,3.89
https://nationalactionnetwork.net/chapter/a-message-a-movement-a-role-model-activism-spotlight/,278,6929,4.01%,4.25
https://nationalactionnetwork.net/sunday-radio/,273,5896,4.63%,9.16
https://nationalactionnetwork.net/staff/,272,8709,3.12%,2.53
https://nationalactionnetwork.net/about/,228,93197,0.24%,6.19
https://nationalactionnetwork.net/membership/,223,81095,0.27%,5.57
https://nationalactionnetwork.net/newnews/saturday-rev-al-sharpton-to-welcome-assemblymember-zohran-mamdani-for-first-appearance-in-harlem-since-becoming-presumptive-democratic-nominee-for-mayor/,192,2950,6.51%,5.08
https://nationalactionnetwork.net/keepin-it-real-with-reverend-al-sharpton-schedule-2/,182,9446,1.93%,12.99
https://nationalactionnetwork.net/staff/rev-dr-w-franklyn-richardson/,177,3939,4.49%,12.47
https://nationalactionnetwork.net/staff/pastor-michael-a-walrond-jr/,174,4679,3.72%,10.44
https://nationalactionnetwork.net/staff/dominique-sharpton/,113,10341,1.09%,9.28
https://nationalactionnetwork.net/nan-saturday-action-rally/,108,1162,9.29%,7.05
https://nationalactionnetwork.net/chaptersoriginal-2/,102,4830,2.11%,33.09
https://nationalactionnetwork.net/news/,100,60190,0.17%,5.43
https://nationalactionnetwork.net/staff/rev-nelson-b-rivers-iii/,80,1429,5.6%,22.88
https://nationalactionnetwork.net/newnews/rev-sharpton-issues-statement-on-rev-jamal-bryants-participation-in-meeting-with-target-ceo-brian-cornell/,76,1597,4.76%,13.85
https://nationalactionnetwork.net/newnews/watch-the-saturday-action-rally-live-click-here/,72,1528,4.71%,5.3
https://nationalactionnetwork.net/staff/ashley-sharpton/,67,5021,1.33%,4.8
https://nationalactionnetwork.net/locations/house-of-justice/,59,1151,5.13%,8.64
https://nationalactionnetwork.net/board-of-directors/,59,883,6.68%,20.29
https://nationalactionnetwork.net/newnews/this-week-on-june-18th-rev-al-sharpton-will-be-in-montgomery-al/,55,185,29.73%,4.32
https://nationalactionnetwork.net/about/history/,49,16362,0.3%,9.29
https://nationalactionnetwork.net/media/,49,897,5.46%,9.36
https://nationalactionnetwork.net/newnews/rev-sharpton-issues-statement-after-meeting-with-pepsico-executives-at-companys-corporate-headquarters-this-morning/,47,1093,4.3%,18.58
https://nationalactionnetwork.net/chapters/,42,8927,0.47%,5.48
https://nationalactionnetwork.net/newnews/national-black-faith-civil-rights-groups-send-letter-to-congressional-senate-leadership-to-ensure-that-state-local-governments-have-the-resources-needed-for-covid-19/,41,3787,1.08%,9.57
https://nationalactionnetwork.net/newnews/thursday-rev-al-sharpton-to-mark-juneteenth-in-brooklyn-with-breakfast-at-juniors-with-spike-lee-juneteenth-celebration-with-members-of-haitian-diaspora/,41,649,6.32%,7.03
https://nationalactionnetwork.net/newnews/rev-al-sharpton-family-of-malcolm-x-including-ilyasah-shabazz-mayor-eric-adams-and-attorney-ben-crump-to-gather-in-harlem-to-commemorate-civil-rights-leaders-100th-birthday/,37,1496,2.47%,39.28
https://nationalactionnetwork.net/chapter/national-action-network-las-vegas-chapter/,37,591,6.26%,21.76
https://nationalactionnetwork.net/newnews/tomorrow-rev-sharpton-to-deliver-major-announcement-at-nan-convention-on-what-company-nan-will-boycott-for-abandoning-dei/,35,1771,1.98%,8.93
https://nationalactionnetwork.net/membership-drive/,35,1242,2.82%,10.89
https://nationalactionnetwork.net/staff/derek-perkinson/,34,216,15.74%,7.89
https://nationalactionnetwork.net/nans-virtual-convention/nans-2021-virtual-convention-schedule/,32,4443,0.72%,28.3
