Top queries,Clicks,Impressions,CTR,Position
national action network,2487,5382,46.21%,1.02
nan,243,55843,0.44%,9.66
national action network live today,165,368,44.84%,1.02
national action network live stream today,145,338,42.9%,1.01
thandiwe abdullah,99,1941,5.1%,4.48
al sharpton national action network,98,295,33.22%,1
al sharpton cuomo,84,496,16.94%,3.18
national action network saturday rally,70,254,27.56%,1.22
al sharpton action network,59,114,51.75%,1
nan al sharpton,58,155,37.42%,1
al sharpton contact email,55,196,28.06%,1.13
dominique sharpton,51,4555,1.12%,1.56
national action network convention 2025,48,268,17.91%,1.92
ashley sharpton,47,3020,1.56%,1.19
nationalactionnetwork.net,40,80,50%,1
al sharpton contact,38,92,41.3%,1.11
nan media,35,295,11.86%,1.3
al sharpton website,35,92,38.04%,1.05
sharpton cuomo,34,148,22.97%,3.35
national action network al sharpton,30,76,39.47%,2.26
action network al sharpton,30,61,49.18%,1
contact al sharpton,29,94,30.85%,1.07
www.nationalactionnetwork.net,29,42,69.05%,1
al sharpton email,27,100,27%,1.04
how to contact al sharpton,26,177,14.69%,1.05
nan network,25,266,9.4%,2.17
black action network,25,90,27.78%,1.02
the national action network,25,90,27.78%,1.03
national action,23,870,2.64%,7.93
national.action network,23,46,50%,1
national action network (nan),23,40,57.5%,1.27
black civil rights leaders,22,2119,1.04%,10.4
al sharpton radio show,22,599,3.67%,4.69
nan saturday morning rally today,22,139,15.83%,1.84
al sharpton organization,21,77,27.27%,1.04
national action network las vegas,21,69,30.43%,2.06
al sharpton nan,21,66,31.82%,1
national action network headquarters,20,70,28.57%,1.09
al sharpton andrew cuomo,19,137,13.87%,3.94
nan organization,19,85,22.35%,1.19
derek perkinson,19,69,27.54%,1
nationalactionnetwork,19,46,41.3%,1.02
al sharpton office phone number,18,187,9.63%,1.62
nan national action network,17,52,32.69%,1
house of justice harlem,16,69,23.19%,1
al sharpton contact information,16,56,28.57%,1.14
al sharpton office,16,56,28.57%,1.48
national action network nyc,16,45,35.56%,1
national action network - saturday morning rally live streaming,15,519,2.89%,3.4
nelson rivers,15,117,12.82%,1.81
national action network inc,15,63,23.81%,1
al sharpton radio show time,15,63,23.81%,1.46
national action network live stream today free,14,254,5.51%,1.99
w franklyn richardson,14,107,13.08%,1
national action network.net,14,35,40%,1
national action network membership,14,34,41.18%,1
national action network live streaming free,13,80,16.25%,1.95
national action network phone number,13,79,16.46%,1.47
national action network boycott,13,52,25%,1.25
al sharpton show today,12,326,3.68%,3.69
pastor mike walrond,12,79,15.19%,1.27
mike walrond,12,66,18.18%,1.62
al sharpton sunday radio show,12,61,19.67%,1.25
al sharpton mailing address,12,42,28.57%,1.21
national action network live streaming,11,83,13.25%,1.69
national action network chapters,11,43,25.58%,1
how to get in touch with al sharpton,11,28,39.29%,1.18
jesse jackson,10,49177,0.02%,1.03
al sharpton,10,16322,0.06%,2.92
rev al sharpton radio show listen live,10,312,3.21%,4.55
al sharpton phone number,10,53,18.87%,1.15
nan harlem,10,20,50%,1
rev al sharpton national action network,10,12,83.33%,1
no justice no peace,9,4828,0.19%,10.22
keeping it real with al sharpton,9,222,4.05%,4.34
al sharpton target,9,202,4.46%,5.42
al sharpton radio show phone number,9,129,6.98%,2.71
pastor michael walrond,8,37,21.62%,1.22
nan house of justice,8,30,26.67%,1.03
nan new york,8,29,27.59%,1
how can i contact al sharpton,8,28,28.57%,1.11
al sharpton boycott,7,219,3.2%,4.48
al sharpton message,7,123,5.69%,3.06
w. franklyn richardson,7,35,20%,1.06
national action committee,7,16,43.75%,2.75
nan sharpton,7,9,77.78%,1
black activist leaders,6,335,1.79%,9.81
national network,6,330,1.82%,10.87
national action network live,6,184,3.26%,5.68
al sharpton trump,6,107,5.61%,3.94
michael walrond,6,96,6.25%,1.9
franklyn richardson,6,90,6.67%,1.08
national action network logo,6,59,10.17%,1
nan membership,6,48,12.5%,2.94
mamdani sharpton,6,42,14.29%,4.79
did al sharpton endorse cuomo,6,28,21.43%,3.43
al sharpton pepsi,6,20,30%,1.35
national action network boycott list,6,15,40%,1.87
national network al sharpton,6,10,60%,1
betty shabazz,5,24947,0.02%,1.53
adam clayton powell,5,9723,0.05%,2.03
renee black,5,4700,0.11%,3.44
action network,5,2444,0.2%,18.73
house of justice,5,226,2.21%,13.87
al sharpton mamdani,5,185,2.7%,5.28
nan media pittsburgh,5,89,5.62%,6.31
keepin it real al sharpton,5,85,5.88%,4.16
politics nation ratings,5,84,5.95%,8.26
spike lee zohran,5,55,9.09%,4.05
michael griffin howard beach,5,42,11.9%,4.02
dr w franklyn richardson,5,40,12.5%,1
al sharpton contact info,5,31,16.13%,1.1
national action network events,5,30,16.67%,1.3
action national network,5,13,38.46%,1
camille yarbrough,4,3825,0.1%,1.2
al sharpton children,4,270,1.48%,3.01
www.nan,4,231,1.73%,6.81
rev al sharpton radio show,4,169,2.37%,4.89
franklin richardson,4,155,2.58%,1.15
nan website,4,148,2.7%,5.11
national action network saturday morning rally live streaming youtube,4,126,3.17%,6.5
pastor richardson,4,116,3.45%,2.61
spike lee mamdani,4,79,5.06%,4.25
nan convention 2025,4,52,7.69%,2.12
al sharpton email address,4,34,11.76%,1.03
is al sharpton still on urban view,4,34,11.76%,2.79
nan nyc,4,33,12.12%,1
national action network attorneys,4,23,17.39%,1
al sharpton law firm,4,15,26.67%,1.8
michael waldron pastor,4,12,33.33%,1.5
nation action network,4,10,40%,1
house of justice al sharpton,4,9,44.44%,1
www national action network,4,8,50%,1
xea myers,3,3276,0.09%,2.08
action network politics,3,291,1.03%,7.05
black civil rights leaders today,3,254,1.18%,7
washington bureau,3,250,1.2%,3.32
robert f smith political party,3,174,1.72%,5.14
action national,3,143,2.1%,5.23
al sharpton keeping it real listen live,3,127,2.36%,4.47
trudy grant,3,109,2.75%,6.5
mary pat hector,3,107,2.8%,6.13
first corinthian baptist church pastor,3,97,3.09%,5.67
dominique sharpton age,3,89,3.37%,1.92
national action network photos,3,89,3.37%,1.97
al sharpton zohran,3,89,3.37%,5.53
legal night,3,77,3.9%,5.03
national action network live stream,3,70,4.29%,2.19
national action network net worth,3,67,4.48%,6.16
al sharpton donald trump,3,51,5.88%,4.69
mamdani al sharpton,3,50,6%,6.8
nan address,3,49,6.12%,2.57
mamdani spike lee,3,38,7.89%,5.21
what did thandiwe abdullah fight for,3,36,8.33%,2.81
target ceo al sharpton,3,34,8.82%,5.09
action network protests,3,32,9.38%,3.56
al sharpton radio show atlanta,3,25,12%,2.28
spike lee juneteenth,3,22,13.64%,3.68
target meeting with al sharpton,3,19,15.79%,5.37
ebonie riley,3,13,23.08%,1
pepsi al sharpton,3,9,33.33%,1.11
national action network jobs,3,3,100%,2.67
ben crump,2,6577,0.03%,1.22
jessie jackson,2,3649,0.05%,1.64
reverend jesse jackson,2,2160,0.09%,1.41
civil rights leaders,2,524,0.38%,5.2
dei thursday,2,307,0.65%,1.81
nan conference 2025,2,305,0.66%,7.73
