Top pages,Clicks,Impressions,CTR,Position
https://www.rubinlicatesi.com/,104,5990,1.74%,35.81
https://www.rubinlicatesi.com/our-firm/attorneys/,22,1446,1.52%,7.22
https://www.rubinlicatesi.com/blog/new-york-tenants-rights/,13,2183,0.6%,20.53
https://www.rubinlicatesi.com/our-firm/partners/-anthony-j-licatesi/,13,794,1.64%,5.68
https://www.rubinlicatesi.com/our-firm/partners/michael-a-licatesi/,12,1196,1%,5.32
https://www.rubinlicatesi.com/blog/understanding-the-statute-of-limitations-in-new-jersey/,6,1892,0.32%,9.63
https://www.rubinlicatesi.com/verdicts-settlements/,6,1121,0.54%,40.77
https://www.rubinlicatesi.com/andrew-leahy/,6,142,4.23%,14.94
https://www.rubinlicatesi.com/faq/5-things-to-know-about-new-yorks-serious-injury-threshold/,5,431,1.16%,12.69
https://www.rubinlicatesi.com/storage/app/media/No-Fault-Update.pdf,5,300,1.67%,22.47
https://www.rubinlicatesi.com/our-firm/attorneys/joseph-n-armao/,5,133,3.76%,10.06
https://www.rubinlicatesi.com/practice-areas/no-fault-collections-and-litigation/euo/,4,549,0.73%,22.65
https://www.rubinlicatesi.com/firm-overview/,4,453,0.88%,5.91
https://www.rubinlicatesi.com/blog/understanding-recoverable-damages-in-new-jersey-personal-injury-lawsuit/,4,324,1.23%,23.67
https://www.rubinlicatesi.com/blog/municipal-or-public-entity-liability/,4,268,1.49%,12.12
https://www.rubinlicatesi.com/our-firm/attorneys/jennifer-m-ahlfeld/,4,209,1.91%,9.75
https://www.rubinlicatesi.com/wesley-c-glass/,4,147,2.72%,10.61
https://www.rubinlicatesi.com/contact-us/,3,2078,0.14%,16.02
https://www.rubinlicatesi.com/practice-areas/,3,682,0.44%,5.14
https://www.rubinlicatesi.com/our-firm/attorneys/peter-j-de-frank/,3,271,1.11%,11.99
"https://www.rubinlicatesi.com/?utm_source=GBP&utm_medium=organic&utm_campaign=brooklyn 
heights office gbp",3,245,1.22%,16.13
https://www.rubinlicatesi.com/blog/if-a-defective-traffic-light-led-to-an-accident-can-you-sue-the-city/,3,203,1.48%,16.94
https://www.rubinlicatesi.com/directions/new-jersey-office/,3,138,2.17%,24.81
https://www.rubinlicatesi.com/practice-areas/no-fault-collections-and-litigation/denied-benefits/,2,890,0.22%,40.93
https://www.rubinlicatesi.com/no-fault-rico-defense/,2,448,0.45%,18.44
https://www.rubinlicatesi.com/practice-areas/no-fault-collections-and-litigation/compliance/,2,161,1.24%,26.28
https://www.rubinlicatesi.com/practice-areas/real-estate/litigation/,1,3529,0.03%,65.54
https://www.rubinlicatesi.com/blog/understanding-full-coverage-auto-insurance-policies-in-new-york-what-you-need-to-know/,1,3434,0.03%,39.62
https://www.rubinlicatesi.com/brooklyn/medical-malpractice/,1,3331,0.03%,35.86
https://www.rubinlicatesi.com/brooklyn/auto-accidents/,1,2257,0.04%,48.8
https://www.rubinlicatesi.com/practice-areas/auto-accidents/ny-no-fault-pip-law/,1,1506,0.07%,42.6
https://www.rubinlicatesi.com/nj-personal-injury/wrongful-death/,1,1357,0.07%,67.48
https://www.rubinlicatesi.com/directions/brooklyn-office/,1,681,0.15%,8.82
https://www.rubinlicatesi.com/blog/understanding-no-fault-insurance-vs-bodily-injury-claims-in-new-york-motor-vehicle-accidents/,1,655,0.15%,55.58
https://www.rubinlicatesi.com/directions/uniondale-office/,1,433,0.23%,10.56
https://www.rubinlicatesi.com/blog/comparative-negligence-in-new-york/,1,406,0.25%,23.2
https://www.rubinlicatesi.com/practice-areas/nursing-home-accidents/abuse-and-neglect/,1,331,0.3%,50.46
https://www.rubinlicatesi.com/current-events/,1,278,0.36%,46.54
https://www.rubinlicatesi.com/faq/camp-lejeune-a-toxic-catastrophe-unfolding/,1,221,0.45%,47.8
https://www.rubinlicatesi.com/our-firm/attorneys/robert-m-bott/,1,168,0.6%,19.48
https://www.rubinlicatesi.com/blog/why-osha-violations-lead-to-personal-injury-cases/,1,113,0.88%,43.89
https://www.rubinlicatesi.com/video-testimonials/,1,73,1.37%,9.12
https://www.rubinlicatesi.com/blog/large-versus-small-law-firms/,1,55,1.82%,30.44
https://www.rubinlicatesi.com/blog/amazon-truck-accidents-in-new-york/,1,52,1.92%,32.5
https://www.rubinlicatesi.com/blog/injured-in-a-lyft-accident-in-new-york/,1,45,2.22%,30.8
https://www.rubinlicatesi.com/blog/injured-while-walking-or-biking-this-summer-in-new-york/,1,43,2.33%,7.05
https://www.rubinlicatesi.com/blog/can-a-nursing-home-power-outage-be-the-basis-of-lawsuit/,1,38,2.63%,19.97
https://www.rubinlicatesi.com/our-firm/attorneys/jared-mallimo/,1,35,2.86%,20.26
https://www.rubinlicatesi.com/blog/rise-of-car-accidents-in-the-summer/,1,21,4.76%,44.95
https://www.rubinlicatesi.com/blog/million-dollar-verdict-auto-accident-in-long-island/,1,18,5.56%,45.78
https://www.rubinlicatesi.com/blog/looking-at-the-workers-compensation-exclusivity-rule-p2/,1,16,6.25%,38.88
https://www.rubinlicatesi.com/blog/over-800k-settlement-for-a-69-year-old-with-spinal-degeneration-and-osteoporosis-after-a-motor-vehicle-collision/,1,12,8.33%,15.75
https://www.rubinlicatesi.com/blog/what-to-expect-from-your-personal-injury-case-a-guide-for-clients/,1,8,12.5%,16
https://www.rubinlicatesi.com/practice-areas/dog-bites/,0,7948,0%,39.06
https://www.rubinlicatesi.com/uniondale/personal-injury/,0,6872,0%,54.73
https://www.rubinlicatesi.com/brooklyn/car-accidents/,0,4846,0%,66.72
https://www.rubinlicatesi.com/uniondale/medical-malpractice/,0,4306,0%,50.8
https://www.rubinlicatesi.com/bus-accidents/,0,3466,0%,41.49
https://www.rubinlicatesi.com/birth-injuries/,0,2956,0%,48.24
https://www.rubinlicatesi.com/brooklyn/personal-injury/,0,2860,0%,72.3
https://www.rubinlicatesi.com/crane-accidents/,0,2610,0%,49.03
https://www.rubinlicatesi.com/practice-areas/truck-accidents/,0,2486,0%,72.95
https://www.rubinlicatesi.com/practice-areas/brain-injuries/,0,2438,0%,43.69
https://www.rubinlicatesi.com/burn-injuries/,0,1959,0%,42.84
https://www.rubinlicatesi.com/practice-areas/construction-accidents/,0,1924,0%,74.3
https://www.rubinlicatesi.com/premises-liability/,0,1854,0%,38.74
https://www.rubinlicatesi.com/practice-areas/nursing-home-accidents/,0,1783,0%,37.77
https://www.rubinlicatesi.com/nj-personal-injury/slip-and-fall/,0,1681,0%,63.02
https://www.rubinlicatesi.com/practice-areas/no-fault-collections-and-litigation/healthcare-providers/,0,1653,0%,27.15
https://www.rubinlicatesi.com/practice-areas/wrongful-death/,0,1612,0%,70.99
https://www.rubinlicatesi.com/practice-areas/sexual-abuse/,0,1568,0%,64.82
https://www.rubinlicatesi.com/e-bike-e-scooter-injuries/,0,1565,0%,34.81
https://www.rubinlicatesi.com/brooklyn/motorcycle-accidents/,0,1550,0%,18.95
https://www.rubinlicatesi.com/faq/the-dangers-of-talcum-powder-and-other-talc-based-products/,0,1440,0%,74.81
https://www.rubinlicatesi.com/practice-areas/no-fault-collections-and-litigation/,0,1223,0%,39.1
https://www.rubinlicatesi.com/practice-areas/pedestrian-accidents/,0,1173,0%,65.13
https://www.rubinlicatesi.com/practice-areas/medical-malpractice/cancer-misdiagnosis/,0,1122,0%,59.61
https://www.rubinlicatesi.com/practice-areas/ride-sharing-accidents/,0,1054,0%,46.13
https://www.rubinlicatesi.com/practice-areas/catastrophic-injuries/,0,1017,0%,54.64
https://www.rubinlicatesi.com/practice-areas/products-liability/,0,923,0%,43.5
https://www.rubinlicatesi.com/nj-personal-injury/auto-accidents/,0,766,0%,62.57
https://www.rubinlicatesi.com/nj-personal-injury/truck-accidents/,0,721,0%,50.74
https://www.rubinlicatesi.com/forklift-accidents/,0,668,0%,52.52
https://www.rubinlicatesi.com/blog/cancer-misdiagnosis-what-you-need-to-know/,0,629,0%,61.2
https://www.rubinlicatesi.com/practice-areas/nursing-home-accidents/bed-sore-injuries/,0,622,0%,66.34
https://www.rubinlicatesi.com/practice-areas/auto-accidents/,0,611,0%,62.39
https://www.rubinlicatesi.com/workplace-accidents/,0,573,0%,39.62
https://www.rubinlicatesi.com/practice-areas/no-fault-collections-and-litigation/arbitration/,0,526,0%,8.04
https://www.rubinlicatesi.com/uniondale/,0,516,0%,22.83
https://www.rubinlicatesi.com/nj-personal-injury/,0,487,0%,67.25
https://www.rubinlicatesi.com/practice-areas/real-estate/,0,454,0%,51.79
https://www.rubinlicatesi.com/practice-areas/construction-accidents/ceiling-collapse-accidents/,0,428,0%,68.07
https://www.rubinlicatesi.com/blog/what-you-should-know-about-fedex-truck-accidents-in-new-york/,0,403,0%,20.97
https://www.rubinlicatesi.com/scaffolding-injuries/,0,401,0%,57.67
https://www.rubinlicatesi.com/faq/how-to-navigate-cpap-mass-tort-litigation/,0,393,0%,25.57
https://www.rubinlicatesi.com/practice-areas/catastrophic-injuries/amputation/,0,389,0%,65.84
https://www.rubinlicatesi.com/building-collapse-injuries/,0,349,0%,35.63
https://www.rubinlicatesi.com/practice-areas/slip-and-fall/,0,337,0%,78.68
https://www.rubinlicatesi.com/blog/defective-medical-devices-and-product-liability-protecting-your-rights/,0,274,0%,56.86
https://www.rubinlicatesi.com/brooklyn/,0,269,0%,45.99
https://www.rubinlicatesi.com/blog/bicycle-accidents-in-new-york/,0,258,0%,77.72
https://www.rubinlicatesi.com/practice-areas/train-accidents/,0,257,0%,56.56
https://www.rubinlicatesi.com/blog/legal-risks-with-ride-share-services-like-uber-and-lyft/,0,255,0%,42.25
https://www.rubinlicatesi.com/blog/seeking-compensation-after-a-drunk-driving-injury-can-i-file-a-lawsuit/,0,241,0%,58.6
https://www.rubinlicatesi.com/contact/,0,240,0%,14.35
https://www.rubinlicatesi.com/blog/understanding-fault-a-guide-to-comparative-and-contributory-negligence/,0,229,0%,60.67
https://www.rubinlicatesi.com/spinal-cord-injuries/,0,227,0%,30.61
https://www.rubinlicatesi.com/brooklyn/construction-accidents/,0,205,0%,42.98
https://www.rubinlicatesi.com/faq/juul-vaping-injuries/,0,203,0%,47.43
https://www.rubinlicatesi.com/blog/boating-injury-in-new-york/,0,195,0%,46.77
https://www.rubinlicatesi.com/blog/understanding-motor-vehicle-accident-injuries-what-you-need-to-know/,0,193,0%,51.2
https://www.rubinlicatesi.com/practice-areas/escalator-accidents/,0,191,0%,62.88
https://www.rubinlicatesi.com/blog/understanding-ladder-accidents-on-new-york-construction-sites/,0,188,0%,54.52
https://www.rubinlicatesi.com/blog/new-york-lawyers-discuss-assault-vs-battery/,0,185,0%,32.55
https://www.rubinlicatesi.com/blog/new-york-weight-loss-drug-lawsuits-unveiled/,0,179,0%,85.3
https://www.rubinlicatesi.com/blog/failure-to-diagnose-cancer-results-in-3-million-award-why-hiring-an-experienced-personal-injury-attorney-is-crucial-to-your-case/,0,175,0%,55.29
https://www.rubinlicatesi.com/blog/gardasil-unveiling-the-complexities-of-vaccine-related-injuries/,0,168,0%,44.57
https://www.rubinlicatesi.com/blog/what-are-asbestos-health-risks-in-new-york/,0,167,0%,49.25
https://www.rubinlicatesi.com/blog/proving-emotional-distress/,0,165,0%,54.21
https://www.rubinlicatesi.com/blog/advocacy-for-escalator-accident-victims-in-new-york/,0,162,0%,50.09
https://www.rubinlicatesi.com/blog/injured-while-using-a-company-vehicle-in-new-york/,0,153,0%,50.56
https://www.rubinlicatesi.com/blog/understanding-recoverable-damages-in-new-york-personal-injury-lawsuit/,0,144,0%,35.96
https://www.rubinlicatesi.com/blog/new-york-mass-tort-claims-what-are-they/,0,139,0%,67.28
https://www.rubinlicatesi.com/practice-areas/no-fault-collections-and-litigation/lost-wages/,0,138,0%,24.04
https://www.rubinlicatesi.com/blog/understanding-personal-injury-law/,0,136,0%,75.25
https://www.rubinlicatesi.com/blog/train-and-subway-accidents-in-new-york-what-you-should-know/,0,135,0%,39.93
https://www.rubinlicatesi.com/blog/new-york-cellar-door-accidents-amp-injuries/,0,120,0%,24.22
https://www.rubinlicatesi.com/blog/injuries-due-to-municipal-negligence/,0,120,0%,30.53
https://www.rubinlicatesi.com/blog/negligent-property-management-resulting-in-an-accident/,0,118,0%,45.16
https://www.rubinlicatesi.com/our-firm/,0,110,0%,35.45
https://www.rubinlicatesi.com/blog/,0,105,0%,44.66
https://www.rubinlicatesi.com/blog/defective-products-and-how-a-personal-injury-attorney-can-help/,0,103,0%,61.9
https://www.rubinlicatesi.com/blog/real-estate-challenges-in-new-york/,0,99,0%,10.64
https://www.rubinlicatesi.com/practice-areas/bicycle-accidents/,0,98,0%,40.71
https://www.rubinlicatesi.com/practice-areas/medical-malpractice/foreign-object/,0,97,0%,40.61
https://www.rubinlicatesi.com/blog/new-york-no-fault-an-introduction/,0,95,0%,36.85
https://www.rubinlicatesi.com/blog/meeting-the-statute-of-limitations-for-a-personal-injury-suit-new-jersey/,0,95,0%,43.44
https://www.rubinlicatesi.com/blog/hurt-in-an-elevator-in-new-york/,0,87,0%,33.36
https://www.rubinlicatesi.com/practice-areas/healthcare-litigation/,0,87,0%,85.3
